received_at,device_id,temperature_c,humidity_pct,soil_moisture_pct,ph_value,moisture_level,ph_category,has_errors
2026-04-23 06:18:31.458,farm_node_01,29.5,53.5,0.0,3.9,dry,strongly_acidic,False
2026-04-23 06:18:42.315,farm_node_01,30.2,51.7,0.0,8.63,dry,strongly_alkaline,False
2026-04-23 06:18:53.163,farm_node_01,30.2,51.6,0.0,6.44,dry,acidic,False
2026-04-23 06:19:03.915,farm_node_01,30.2,51.5,0.0,3.85,dry,strongly_acidic,False
2026-04-23 06:19:14.783,farm_node_01,30.2,51.4,0.0,3.28,dry,strongly_acidic,False
2026-04-23 06:19:25.729,farm_node_01,30.2,51.4,0.0,6.2,dry,acidic,False
2026-04-23 06:19:37.059,farm_node_01,30.2,51.5,0.0,7.74,dry,alkaline,False
2026-04-23 06:19:47.325,farm_node_01,30.2,51.4,0.0,7.08,dry,neutral,False
2026-04-23 06:19:58.189,farm_node_01,30.2,51.4,0.0,6.54,dry,neutral,False
2026-04-23 06:20:08.926,farm_node_01,30.2,51.4,0.0,3.75,dry,strongly_acidic,False
2026-04-23 06:20:19.777,farm_node_01,30.2,51.3,0.0,6.53,dry,neutral,False
2026-04-23 06:20:30.652,farm_node_01,30.2,51.3,0.0,6.28,dry,acidic,False
2026-04-23 06:20:41.519,farm_node_01,30.2,51.4,0.0,3.78,dry,strongly_acidic,False
2026-04-23 06:20:52.311,farm_node_01,30.2,51.3,0.0,7.51,dry,alkaline,False
2026-04-23 06:21:03.224,farm_node_01,30.3,51.4,0.0,7.16,dry,neutral,False
2026-04-23 06:21:14.072,farm_node_01,30.2,51.3,0.0,4.7,dry,strongly_acidic,False
2026-06-20 07:07:48.587,farm_node_01,33.3,68.4,0.0,6.29,dry,acidic,False
2026-06-20 07:07:59.351,farm_node_01,34.1,66.5,0.0,4.16,dry,strongly_acidic,False
2026-06-20 07:08:10.206,farm_node_01,34.2,66.5,0.0,3.74,dry,strongly_acidic,False
2026-06-20 07:08:20.930,farm_node_01,34.2,66.3,0.0,5.21,dry,strongly_acidic,False
2026-06-20 07:08:31.772,farm_node_01,34.3,66.0,0.0,7.12,dry,neutral,False
2026-06-20 07:08:42.627,farm_node_01,34.3,66.0,0.0,3.34,dry,strongly_acidic,False
2026-06-20 07:08:53.450,farm_node_01,34.3,65.9,0.0,6.91,dry,neutral,False
2026-06-20 07:09:04.365,farm_node_01,34.4,65.8,0.0,6.06,dry,acidic,False
2026-06-20 07:09:15.133,farm_node_01,34.4,65.7,0.0,3.9,dry,strongly_acidic,False
2026-06-20 07:09:25.980,farm_node_01,34.4,65.8,0.0,3.17,dry,strongly_acidic,False
2026-06-20 07:09:36.809,farm_node_01,34.4,65.7,0.0,3.41,dry,strongly_acidic,False
2026-06-20 07:09:47.648,farm_node_01,34.4,65.7,0.0,5.68,dry,acidic,False
2026-06-20 07:09:58.489,farm_node_01,34.4,65.7,0.0,3.19,dry,strongly_acidic,False
2026-06-20 07:10:09.334,farm_node_01,34.4,65.7,0.0,4.7,dry,strongly_acidic,False
2026-06-20 07:10:20.184,farm_node_01,34.4,65.7,0.0,6.95,dry,neutral,False
2026-06-20 07:10:31.014,farm_node_01,34.4,65.7,0.0,3.42,dry,strongly_acidic,False
2026-06-20 07:10:41.848,farm_node_01,34.4,65.7,0.0,3.83,dry,strongly_acidic,False
2026-06-20 07:10:52.714,farm_node_01,34.4,65.8,0.0,5.22,dry,strongly_acidic,False
2026-06-20 07:11:03.530,farm_node_01,34.4,65.8,0.0,6.23,dry,acidic,False
2026-06-20 07:11:14.367,farm_node_01,34.4,65.9,0.0,6.45,dry,acidic,False
2026-06-20 07:11:25.207,farm_node_01,34.4,66.0,0.0,6.47,dry,acidic,False
2026-06-20 07:11:36.046,farm_node_01,34.4,66.0,0.0,5.65,dry,acidic,False
2026-06-20 07:11:46.886,farm_node_01,34.4,66.0,0.0,3.23,dry,strongly_acidic,False
2026-06-20 07:11:57.779,farm_node_01,34.4,66.0,0.0,6.78,dry,neutral,False
2026-06-20 07:12:08.613,farm_node_01,34.4,66.0,0.0,4.6,dry,strongly_acidic,False
2026-06-20 07:12:19.407,farm_node_01,34.4,66.0,0.0,3.04,dry,strongly_acidic,False
2026-06-20 07:12:30.245,farm_node_01,34.4,66.1,0.0,4.3,dry,strongly_acidic,False
2026-06-20 07:12:41.100,farm_node_01,34.4,66.2,0.0,7.41,dry,neutral,False
2026-06-20 07:12:51.926,farm_node_01,34.4,66.3,0.0,2.26,dry,strongly_acidic,False
2026-06-20 07:13:02.765,farm_node_01,34.4,66.4,0.0,6.05,dry,acidic,False
2026-06-20 07:13:13.606,farm_node_01,34.4,66.2,0.0,3.37,dry,strongly_acidic,False
2026-06-20 07:13:24.459,farm_node_01,34.4,66.0,0.0,8.53,dry,strongly_alkaline,False
2026-06-20 07:13:35.285,farm_node_01,34.4,66.1,0.0,2.67,dry,strongly_acidic,False
2026-06-20 07:13:58.485,farm_node_01,34.4,66.0,0.0,8.39,dry,alkaline,False
2026-06-20 12:53:52.483,farm_node_01,34.1,64.8,0.0,4.16,dry,strongly_acidic,False
2026-06-20 12:54:03.242,farm_node_01,34.1,64.6,0.0,4.18,dry,strongly_acidic,False
2026-06-20 13:26:38.147,esp32_test_01,27.5,62.0,48.0,6.7,,,False
2026-06-21 08:59:57.124,farm_node_01,34.3,61.2,92.38,11.8,wet,strongly_alkaline,False
2026-06-21 09:00:28.041,farm_node_01,34.3,61.2,94.33,11.8,wet,strongly_alkaline,False
2026-06-21 09:00:58.828,farm_node_01,34.3,61.4,52.67,11.8,moderate,strongly_alkaline,False
2026-06-21 09:02:05.715,farm_node_01,34.3,61.5,90.05,11.8,wet,strongly_alkaline,False
2026-06-21 09:02:36.633,farm_node_01,34.3,61.4,50.81,11.8,moderate,strongly_alkaline,False
2026-06-21 09:03:07.346,farm_node_01,34.3,61.4,93.67,11.8,wet,strongly_alkaline,False
2026-06-21 09:03:38.203,farm_node_01,34.3,61.4,43.95,11.8,moderate,strongly_alkaline,False
2026-06-21 09:04:09.321,farm_node_01,34.3,61.4,93.19,11.8,wet,strongly_alkaline,False
2026-06-21 09:04:39.878,farm_node_01,34.3,61.5,60.52,11.8,moderate,strongly_alkaline,False
2026-06-21 09:05:10.736,farm_node_01,34.3,61.5,91.1,11.8,wet,strongly_alkaline,False
2026-06-21 09:05:41.685,farm_node_01,34.3,61.6,76.05,11.8,wet,strongly_alkaline,False
2026-06-21 09:06:12.511,farm_node_01,34.3,61.7,92.19,11.8,wet,strongly_alkaline,False
2026-06-21 09:06:43.235,farm_node_01,34.3,61.8,43.86,11.8,moderate,strongly_alkaline,False
2026-06-21 09:07:14.140,farm_node_01,34.3,61.8,64.29,11.8,moderate,strongly_alkaline,False
2026-06-21 09:07:44.928,farm_node_01,34.3,61.9,100.0,10.18,wet,strongly_alkaline,False
2026-06-21 09:08:15.761,farm_node_01,34.3,61.9,100.0,10.19,wet,strongly_alkaline,False
2026-06-21 09:08:46.764,farm_node_01,34.3,61.9,100.0,10.47,wet,strongly_alkaline,False
2026-06-21 09:09:17.542,farm_node_01,34.3,62.0,100.0,10.56,wet,strongly_alkaline,False
2026-06-21 09:09:48.483,farm_node_01,34.3,62.0,100.0,10.67,wet,strongly_alkaline,False
2026-06-21 09:10:19.123,farm_node_01,34.3,62.0,100.0,10.75,wet,strongly_alkaline,False
2026-06-21 09:10:50.126,farm_node_01,34.3,61.8,100.0,10.77,wet,strongly_alkaline,False
2026-06-21 09:11:20.854,farm_node_01,34.3,61.8,100.0,10.84,wet,strongly_alkaline,False
2026-06-21 09:11:51.858,farm_node_01,34.3,61.7,100.0,10.83,wet,strongly_alkaline,False
2026-06-21 09:12:22.693,farm_node_01,34.3,61.7,100.0,10.84,wet,strongly_alkaline,False
2026-06-21 09:12:53.462,farm_node_01,34.3,61.7,100.0,10.84,wet,strongly_alkaline,False
2026-06-21 09:13:24.349,farm_node_01,34.3,61.5,100.0,10.93,wet,strongly_alkaline,False
2026-06-21 09:13:55.015,farm_node_01,34.3,61.6,100.0,10.92,wet,strongly_alkaline,False
2026-06-21 09:14:25.880,farm_node_01,34.3,61.5,100.0,10.98,wet,strongly_alkaline,False
2026-06-21 09:14:56.699,farm_node_01,34.3,61.6,100.0,11.01,wet,strongly_alkaline,False
2026-06-21 09:15:27.742,farm_node_01,34.3,61.6,100.0,11.07,wet,strongly_alkaline,False
2026-06-21 10:33:32.852,farm_node_01,34.7,61.7,71.67,11.8,wet,strongly_alkaline,False
2026-06-21 10:34:03.705,farm_node_01,34.7,62.1,87.86,11.8,wet,strongly_alkaline,False
2026-06-21 10:34:34.527,farm_node_01,34.7,62.2,25.43,11.8,dry,strongly_alkaline,False
2026-06-21 10:35:05.375,farm_node_01,34.6,62.2,53.62,11.8,moderate,strongly_alkaline,False
2026-06-21 10:35:36.315,farm_node_01,34.6,62.1,53.67,11.8,moderate,strongly_alkaline,False
2026-06-21 10:36:07.139,farm_node_01,34.7,62.3,87.62,11.8,wet,strongly_alkaline,False
2026-06-21 10:36:37.899,farm_node_01,34.6,62.2,87.48,11.8,wet,strongly_alkaline,False
2026-06-21 10:37:08.727,farm_node_01,34.7,62.0,87.57,11.8,wet,strongly_alkaline,False
2026-06-21 10:37:39.616,farm_node_01,34.7,62.0,40.33,11.8,moderate,strongly_alkaline,False
2026-06-21 10:38:10.572,farm_node_01,34.7,62.0,0.0,11.8,dry,strongly_alkaline,False
2026-06-21 10:38:41.360,farm_node_01,34.7,62.0,8.81,11.8,dry,strongly_alkaline,False
2026-06-21 10:39:12.093,farm_node_01,34.7,62.1,0.0,11.8,dry,strongly_alkaline,False
2026-06-21 10:39:42.929,farm_node_01,34.6,61.9,48.43,11.8,moderate,strongly_alkaline,False
2026-06-21 10:40:13.832,farm_node_01,34.6,61.8,86.24,11.8,wet,strongly_alkaline,False
2026-06-21 10:40:44.666,farm_node_01,34.6,62.1,45.57,11.8,moderate,strongly_alkaline,False
2026-06-21 10:41:15.451,farm_node_01,34.6,62.0,87.48,11.8,wet,strongly_alkaline,False
2026-06-21 10:41:46.289,farm_node_01,34.6,62.0,2.19,11.8,dry,strongly_alkaline,False
2026-06-21 10:42:17.246,farm_node_01,34.6,62.0,48.24,11.8,moderate,strongly_alkaline,False
2026-06-21 10:42:48.154,farm_node_01,34.6,61.8,4.24,11.8,dry,strongly_alkaline,False
2026-06-21 10:43:18.820,farm_node_01,34.6,61.9,83.05,11.8,wet,strongly_alkaline,False
2026-06-21 10:43:49.655,farm_node_01,34.6,61.9,7.0,11.8,dry,strongly_alkaline,False
2026-06-21 10:44:20.497,farm_node_01,34.6,61.9,71.81,11.8,wet,strongly_alkaline,False
2026-06-21 10:44:51.456,farm_node_01,34.6,62.2,0.0,11.8,dry,strongly_alkaline,False
2026-06-21 10:45:22.180,farm_node_01,34.6,62.0,39.62,11.8,moderate,strongly_alkaline,False
